spacegroup,international,point_group,N_eff,note
147,P-3,C3i,3,conservative
148,R-3,C3i,3,conservative
156,P3m1,C3v,3,conservative
157,P31m,C3v,3,conservative
158,P3c1,C3v,3,conservative
159,P31c,C3v,3,conservative
160,R3m,C3v,3,conservative
161,R3c,C3v,3,conservative
162,P-31m,D3d,3,conservative
163,P-31c,D3d,3,conservative
164,P-3m1,D3d,3,conservative
165,P-3c1,D3d,3,conservative
166,R-3m,D3d,7,known(§11.4)
167,R-3c,D3d,3,known(§11.4)
174,P-6,C3h,3,conservative
175,P6/m,C6h,3,conservative
176,P6_3/m,C6h,3,conservative
183,P6mm,C6v,3,conservative
184,P6cc,C6v,3,conservative
185,P6_3cm,C6v,3,conservative
186,P6_3mc,C6v,3,conservative
187,P-6m2,D3h,3,conservative
188,P-6c2,D3h,3,conservative
189,P-62m,D3h,3,conservative
190,P-62c,D3h,3,conservative
191,P6/mmm,D6h,3,conservative
192,P6/mcc,D6h,3,conservative
193,P6_3/mcm,D6h,3,conservative
194,P6_3/mmc,D6h,5,known(§11.4)
200,Pm-3,Th,3,conservative
201,Pn-3,Th,3,conservative
202,Fm-3,Th,3,conservative
203,Fd-3,Th,3,conservative
204,Im-3,Th,3,conservative
205,Pa-3,Th,3,conservative
206,Ia-3,Th,3,conservative
215,P-43m,Td,3,conservative
216,F-43m,Td,3,known(§11.4)
217,I-43m,Td,3,known(§11.4)
218,P-43n,Td,3,conservative
219,F-43c,Td,3,conservative
220,I-43d,Td,3,conservative
221,Pm-3m,Oh,5,known(§11.4)
222,Pn-3n,Oh,3,conservative
223,Pm-3n,Oh,3,conservative
224,Pn-3m,Oh,3,conservative
225,Fm-3m,Oh,5,known(§11.4)
226,Fm-3c,Oh,3,conservative
227,Fd-3m,Oh,7,known(§11.4)
228,Fd-3c,Oh,3,conservative
229,Im-3m,Oh,3,conservative
230,Ia-3d,Oh,3,conservative
