year,gcc_size,l2_top100_gcc,br_top100_gcc,gcc_share_edges
1995,29,0.013802559304327194,0.04867560597853392,99
1996,30,0.015000452672122255,0.043172865751590885,99
1997,31,0.01313883324977609,0.03992172112187609,99
1998,30,0.012581796022281305,0.032999213158460064,99
1999,32,0.01150859243819622,0.030716387908257953,99
2000,31,0.012579380876750552,0.03908911126553209,100
2001,33,0.011192677892489072,0.03441735597048042,99
2002,30,0.015229460341166436,0.04066309694946149,99
2003,32,0.013340088782761193,0.04254776835209774,99
2004,31,0.016954999974645394,0.04949109587535045,99
2005,31,0.019001908817091163,0.04962215855297215,99
2006,32,0.019620161031738255,0.05215949046772982,99
2007,31,0.022634732628164487,0.06399720402844666,99
2008,31,0.023829692748765112,0.06684518409861542,99
2009,32,0.012624697208464035,0.07830617561007298,100
2010,32,0.01398933019457532,0.08234907041316282,100
2011,32,0.015242684968067612,0.08488202538863664,100
2012,31,0.04917687508640914,0.08753859792178877,99
2013,32,0.03207487911652374,0.0753115201483485,99
2014,34,0.01250588128317525,0.0653919894519688,100
2015,33,0.012620100658145594,0.06673951170814851,100
2016,33,0.013420824231406224,0.0702140912789007,100
2017,33,0.013490140561162559,0.07027461985134992,100
2018,33,0.013529752345098572,0.07406378670834611,100
2019,33,0.01826830722044188,0.0877826383385263,100
2020,33,0.018189917257210798,0.08895899669004956,100
2021,34,0.016897969490694942,0.08512667623526779,100
2022,34,0.0210772657004607,0.08257519714536879,100
2023,32,0.020703417898226863,0.08261971609779627,100
2024,32,0.019077472162835913,0.08382524897059518,100
