year,active,tot,max_edge,l2_full,br_full,l2_core02,br_core02,nedge02,wshare02,l2_core05,br_core05,nedge05,l2_core10,br_core10,nedge10,l2_top100,br_top100,wshare100
1995,62,4560055649.412247,249442208.0,-2.3831323133438334e-17,0.021128679840079757,-1.2720379394021525e-15,0.01816337781931747,73,0.8070860228371044,-7.750320665204004e-16,0.01567327377719798,34,-5.304013520779963e-16,0.009517676057080527,20,-1.2874433776708754e-15,0.020650257081802317,0.8540503137833351
1996,62,4861353420.9113245,265798600.0,-1.2254978482997552e-17,0.02043614286295398,-9.74355369449272e-16,0.01787545093382888,73,0.7945626250160384,-7.88923197352819e-16,0.013320956055300147,37,-3.998693050919639e-16,0.007149377587116184,19,-2.2378956389186674e-16,0.019624029887086777,0.8428594612664226
1997,62,5219105242.378451,295365144.0,-1.2159066335168491e-17,0.018918001605198888,-2.6498823538664007e-16,0.016652640772039935,71,0.7836391383796185,-7.414723801963538e-16,0.01190751809768267,35,-2.977786637549673e-16,0.006112097208538253,15,-2.943735922012131e-16,0.018146236873580093,0.8365443226117663
1998,62,4930146900.383591,304319952.0,-2.333962577394507e-18,0.015646634519920415,-5.032373061723768e-16,0.013368798131081052,62,0.7649853103680457,-5.552267566786242e-16,0.00960067047485569,34,-2.447268582293598e-16,0.003024871878207113,12,-3.6867756046007423e-16,0.014999642344754621,0.8366410208140191
1999,62,5252360675.248256,333310640.0,-5.906515033978035e-17,0.015544225925477887,-6.076161215697017e-16,0.013465875109414572,61,0.7755713480315136,-7.853383651434527e-16,0.009173108041409136,32,-3.1181179500854776e-16,0.003954930268288497,13,-2.3733728465628874e-16,0.01489279413733718,0.8487924872203392
2000,62,6219377188.363117,372160672.0,-8.782336609264162e-18,0.01843590059722227,-7.24682233932859e-16,0.016973695104148867,69,0.7913321848100224,-7.71595822166504e-16,0.011281441517248882,33,-5.957107605852178e-16,0.004416551466245788,13,-2.4697881892289803e-16,0.017767777847969114,0.8477758495551336
2001,62,5817653209.424988,343337376.0,-3.2958812668042105e-18,0.01748683194526845,-3.930610019132416e-16,0.016001823862973136,67,0.7734599497027685,-7.153043396481183e-16,0.010191229592583813,32,-4.768252238271095e-16,0.005039047878021214,13,-1.3322502501646186e-16,0.01668720289477831,0.8341732013494382
2002,62,6050537100.617729,337906064.0,-4.3821587404644685e-20,0.019151757820058436,-5.332044057017644e-16,0.01783885797736319,71,0.7786753167572495,-9.228652169821462e-16,0.011418166793852524,32,-3.965508900163272e-16,0.007406289228813458,14,-2.9280153648682365e-16,0.01848322588611886,0.8306550164962845
2003,62,6834884151.466979,357787056.0,-1.2752223727790958e-17,0.021525207231405743,-9.066632297954308e-16,0.020243427634208208,80,0.7863856572969696,-1.0714726377666347e-15,0.013567846480504513,35,-3.335386360583068e-16,0.009540272562095489,14,-1.717729706464653e-16,0.020629221019198913,0.8217115935380657
2004,62,8289943222.119095,407743040.0,-1.2809895699388167e-17,0.023719726386839342,-3.9506853999321816e-16,0.022293383215117486,86,0.7869223312463696,-6.060536349128863e-16,0.017113716546218936,39,-5.178076377557783e-16,0.011411493080108998,14,-2.235402334358831e-16,0.022495952670613953,0.8115094698779293
2005,62,9444737945.844015,457558128.0,-8.92073574092448e-17,0.023980857026767093,-2.978640792067766e-16,0.02245247222977801,90,0.7864371252903233,-1.0243462911858984e-15,0.017202039488697744,41,-3.956035891403814e-16,0.011125830763862083,14,-2.5417353291445835e-16,0.022555526614987345,0.8042667815328345
2006,63,10861862815.675894,484924976.0,1.5742624661002668e-18,0.026786341140320687,-2.0273056953636363e-16,0.025268009732608204,98,0.7897615530776898,-9.314309458851892e-16,0.020697807826265412,46,-5.864996381782224e-16,0.012153819072336832,15,-7.023445222392528e-16,0.02528944992374779,0.7932826368594516
2007,63,12579493664.047058,509647520.0,-7.057752452360892e-17,0.030785025043323283,-7.177372498622456e-16,0.029221795439773414,108,0.7983028862045011,-2.863653315818754e-16,0.024530484582441184,51,-4.683654538200508e-16,0.014919354440425714,18,-3.6620474676107034e-16,0.029089638194748517,0.7845210558796846
