year,active,tot,max_edge,l2_full,br_full,l2_top100,br_top100,nedge100,wshare100,l2_top150,br_top150,nedge150,l2_tau02,br_tau02,nedge02,wshare02
1995,63,5417471406.886856,249442208.0,-1.7347271327156865e-18,0.028684789597114936,-3.435192074024159e-16,0.027094403102063857,100,0.8343881504392784,-3.126227815004817e-16,0.028066526056394932,150,-6.611637520326273e-16,0.02533170965665415,91,0.8187610761288577
1996,63,5734702780.327584,265798600.0,3.0049878868434333e-16,0.027794744589516616,-4.679385050577411e-16,0.025281605637909495,100,0.8230243941657932,-2.0285936070543043e-16,0.02723779608079223,150,-3.4985214073034016e-16,0.024695062700451655,91,0.8073803741203681
1997,63,6098144253.582309,295365144.0,2.5865881758998212e-18,0.026306159949147694,-1.710938922374465e-16,0.024174749546390747,100,0.8152617481259943,-3.0276253742123825e-16,0.025753497632297003,150,-2.2613557007114004e-16,0.02335822135532243,86,0.7910974822243741
1998,63,5839080505.203171,304319952.0,-2.602182153207018e-18,0.022653493632720133,-1.6129106282076173e-16,0.020918303658258107,100,0.818831989427013,-3.195080173627737e-16,0.022129474640071527,150,-1.8644035849636913e-16,0.01982498952257353,78,0.7793501010895308
1999,63,6153805445.441858,333310640.0,3.527019619395921e-16,0.021722081713552926,-5.18944368651527e-16,0.020151752418281033,100,0.8302159674074913,-1.7792692257003788e-16,0.021197082893228924,150,-8.802971187732358e-16,0.019250452039209862,74,0.7824268201908158
2000,63,7168443666.534138,372160672.0,1.7346415640647338e-18,0.024325390664004066,-3.5494678758182363e-16,0.022621204866301748,100,0.8278232479383466,-3.951681290588316e-16,0.02365452366532099,150,-4.427359099492538e-16,0.022267508492599883,82,0.7955611185520142
2001,63,6788832600.300964,343337376.0,1.6538461858941054e-16,0.023936973372891617,-2.492333576420785e-16,0.022194883465417585,100,0.8160327603012748,-6.734301174308811e-17,0.023371390964141564,150,-5.745094553558427e-16,0.021765957137168092,82,0.78413095187588
2002,63,7064827889.475637,337906064.0,4.000725227968212e-17,0.0262148519390195,-2.022083798264703e-16,0.02475653226550663,100,0.8136386215350025,-1.1470357310364434e-16,0.025670301895420217,150,-5.797871298267936e-16,0.024043929726832964,86,0.7891305386122847
2003,63,8034227317.850767,357787056.0,1.448124230246406e-16,0.028880413786426647,-3.4430495246980057e-16,0.02686950410373693,100,0.8047912470541951,-3.962471440341883e-16,0.02801618513645312,150,-2.0600571259916001e-16,0.026874779303577633,98,0.8012776362384691
2004,63,9722633408.996048,407743040.0,1.1275702558843808e-17,0.0320791688815976,-4.628824892654551e-16,0.029867786791621612,100,0.7941460993845373,-3.1048905502753974e-16,0.031077408515183598,150,-2.1847056571509765e-16,0.03003266524501514,104,0.8011650721133515
2005,63,11050356010.886496,457558128.0,6.28193064250423e-16,0.03202107288194665,-3.092493427140076e-16,0.030609740566525344,100,0.7867815657870849,-1.3806697388172046e-16,0.030554538166044327,150,-2.540312846521328e-16,0.030566608854037808,108,0.8006948672769673
2006,64,12721767450.908314,484924976.0,0.0006693642788491167,0.036042016766412915,-4.749176512880946e-16,0.03433990369708028,100,0.7767770717106169,-2.06473525756133e-16,0.035270341663124045,150,-2.3815517900177387e-16,0.03425926293341444,117,0.8048965913847058
2007,64,14659098957.705263,509647520.0,0.0007187193384000608,0.04178489102507544,-3.4293698963263e-16,0.03947993832309555,100,0.7671051193661022,-6.358659822514447e-16,0.04013577009981816,150,-2.3756936729024326e-16,0.03977659665397308,128,0.8130226407084485
2008,64,16659657555.519236,538741264.0,0.0007375130177591275,0.04411183988231607,-4.835269918929792e-16,0.040778478533835226,100,0.7464981723546832,-7.114329362759519e-16,0.04203535813516983,150,-7.187516949490624e-16,0.04197724051482835,146,0.8199922882027829
2009,64,13113328144.949202,380195552.0,0.001248423169609681,0.05318916672585432,-2.9867487265361236e-16,0.04947066060582277,100,0.7479333915911852,-3.070930059340888e-16,0.051733755171618254,150,-2.0486217218933557e-16,0.05218114578217983,155,0.8311167771945679
2010,64,16565818997.282816,468552992.0,0.0015175909137947606,0.0551496891276705,-3.221724089887959e-16,0.051498669507020936,100,0.7500767800123914,-3.762128015633054e-16,0.05350093492474578,150,-2.740761301777585e-16,0.05348372633550909,151,0.8291480692716094
2011,64,19555247302.55093,529773632.0,0.0012818610484618528,0.05789380473854023,-9.053878807976006e-16,0.05296382726671284,100,0.7438657134805168,-2.7635057693075466e-16,0.055949165170644674,150,-6.810602170643538e-16,0.0568822159242893,163,0.839551685764905
2012,64,19981289683.176155,548786720.0,0.0009326582093598506,0.05655500838613181,-4.638050844536356e-16,0.052440653909854223,100,0.7416515433549531,-9.565100887520183e-16,0.054446568673930155,150,-1.9778845129502144e-16,0.05463520627987371,163,0.8357178231013405
2013,64,20117311994.7362,578078360.0,0.0004110719957487452,0.05234167084165587,-2.3920904535780065e-16,0.048248448974776585,100,0.7412571710373425,-4.476928002533374e-16,0.05029667887928809,150,-3.1819792762455315e-16,0.05045491453296801,155,0.8259686328902434
2014,64,20340752422.81285,614985744.0,0.0004221723931625113,0.04831911390414607,-2.795101827467897e-16,0.04485715244899074,100,0.7468948462772302,-7.044087347040311e-16,0.046221383280095674,150,-7.044087347040311e-16,0.046221383280095674,150,0.8244162870039146
2015,64,18244295367.604816,613163440.0,0.0003969238665256007,0.04438812031001036,-2.763666884455491e-16,0.04133826976799589,100,0.7583834098256252,-1.4890309841514538e-16,0.04203496498600334,150,-2.232519886218912e-16,0.0421537420450563,131,0.8082531573504071
2016,64,17745534139.418694,582046320.0,0.00038993301818829535,0.046122611663835,-2.0903184408607723e-16,0.04301771457514157,100,0.7600937154541941,-1.0656926572047823e-16,0.044151078125254026,150,-4.1955722971423816e-16,0.04350152575901077,134,0.8136019899749805
2017,64,20079642026.32611,650468480.0,0.0004067017753365255,0.04657842404538989,-2.641650974947575e-16,0.043315807927529815,100,0.7559903835112056,-2.272512388970321e-16,0.044506967201995984,150,-3.5514173447182303e-16,0.04382556169316024,136,0.8135164435679816
