year,i,j,v
1995,20,32,49.53499984741211
1995,20,36,27.880001068115234
1995,20,50,11.788999557495117
1995,20,76,636.2799911499023
1995,20,124,395.1620178222656
1995,20,152,59.959001541137695
1995,20,156,13610.0
1995,20,170,191.42799377441406
1995,20,196,10.26099967956543
1995,20,203,725.7100028991699
1995,20,218,121.91099548339844
1995,20,818,11.064000129699707
1995,20,826,35043.75567626953
1995,20,300,211.14400100708008
1995,20,320,52.69799995422363
1995,20,344,2697.6859436035156
1995,20,360,1203.9339599609375
1995,20,699,498.041015625
1995,20,364,233.68899536132812
1995,20,392,34894.68818759918
1995,20,404,6.074000358581543
1995,20,410,5714.597061157227
1995,20,446,31.032001495361328
1995,20,504,238.22900390625
1995,20,484,388.7489929199219
1995,20,104,18.22100067138672
1995,20,458,6532.0181884765625
1995,20,558,0.9190000295639038
1995,20,528,24484.1025390625
1995,20,554,67.08599853515625
1995,20,586,115.92599487304688
1995,20,604,24.05900001525879
1995,20,608,648.9310302734375
1995,20,642,204.06500244140625
1995,20,643,233.177001953125
1995,20,702,2790.22900390625
1995,20,703,173.16600036621094
1995,20,764,2738.871971130371
1995,20,788,1400.159912109375
1995,20,792,1365.5210571289062
1995,20,490,3768.9689648151398
1995,20,804,108.13700103759766
1995,20,858,3.882999897003174
1995,20,842,47865.921813964844
1995,20,862,26.536998748779297
1995,20,704,142.16799926757812
1995,20,716,27.100998044013977
1995,32,36,189684.49609375
1995,32,50,102016.44921875
1995,32,68,374576.984375
1995,32,76,10636862.5
1995,32,124,392527.625
1995,32,152,1972692.875
1995,32,156,970670.53125
1995,32,170,316150.5546875
1995,32,196,25933.855125427246
1995,32,203,28453.017578125
1995,32,218,186739.1640625
1995,32,818,239557.0264892578
1995,32,231,99.26200103759766
1995,32,826,786604.75
1995,32,300,90036.65234375
1995,32,320,31900.881713867188
1995,32,344,402968.8828125
1995,32,360,254513.734375
1995,32,699,246559.15625
1995,32,364,509937.06649780273
1995,32,400,70516.1328125
1995,32,392,1204420.09375
1995,32,398,201.9759979248047
1995,32,404,52391.46337890625
1995,32,410,535734.796875
1995,32,422,13607.73567199707
1995,32,434,32624.39697265625
1995,32,446,1040.4619750976562
1995,32,504,63983.3037109375
1995,32,462,31.832000732421875
1995,32,484,551328.984375
1995,32,104,30.362998962402344
1995,32,496,14.354999542236328
