year,n_active,lambda2,BR,active,total_usd,max_edge_usd
1948,10,0.1456296811748405,0.12978401160224912,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU",19096620000.0,2038500000.0
1949,11,0.06897583314582047,0.1323385834174411,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR",20285780000.0,2101200000.0
1950,11,0.011951007995931727,0.07278818717451987,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR",16899280000.0,2162100000.0
1951,12,0.005290726727136206,0.06896754153637277,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",27226700000.0,3667500000.0
1952,12,0.023447495782359044,0.06718540405023608,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",24710940000.0,3354100000.0
1953,12,0.024724968345772754,0.044243172789646124,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",23401880000.0,3610900000.0
1954,12,0.027118017023828968,0.053298519788691656,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",23622760000.0,3362300000.0
1955,12,0.028203805127495932,0.06688519565828793,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",28476180000.0,3858500000.0
1956,12,0.02338770305667544,0.051104964276813304,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",32522880000.0,4662500000.0
1957,12,0.025420539641518903,0.06494732969226755,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",37200880000.0,4605500000.0
1958,12,0.032557302487524475,0.06299714222587456,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",31777220000.0,4061100000.0
1959,12,0.03089701269230494,0.06287102106861264,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",33851460000.0,4399800000.0
1960,12,0.03963740511386987,0.10628811781957435,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",39854160000.0,4147100000.0
1961,12,0.04579122822041825,0.1053546743117728,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",43029680000.0,4263300000.0
1962,12,0.05237096116948455,0.10572979719063462,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",44831240000.0,4427000000.0
1963,12,0.05721520115293219,0.12671088027270125,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",50216360000.0,4535900000.0
1964,12,0.056683219962040336,0.11708515687230919,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",55541080000.0,5271400000.0
1965,12,0.06774989592548687,0.10147015637089223,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",60831860000.0,6153700000.0
1966,12,0.06952929415631467,0.09501831267881637,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",67871600000.0,7265300000.0
1967,12,0.08289572317973302,0.09643850361501288,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",73399180000.0,8168500000.0
1968,12,0.09654193431778937,0.09209932310119011,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",85676400000.0,9574300000.0
1969,12,0.0953199673276416,0.08906203812116154,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",96405500000.0,11046100000.0
1970,12,0.10783138169339684,0.10565368701107024,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",111116960000.0,11780700000.0
1971,12,0.09530558888920129,0.1007441807960986,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",124646040000.0,13467800000.0
1972,12,0.09382429603595452,0.11060304628643992,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",150471480000.0,15809900000.0
1973,12,0.11920731694441483,0.13445417610578989,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",197393520000.0,18762800000.0
1974,12,0.12346863578369421,0.14156667020995603,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",255428840000.0,23814000000.0
1975,12,0.15524305465476254,0.12533218840122806,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",256571260000.0,25381200000.0
1976,12,0.12946507965958465,0.12405774652432838,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",299479800000.0,28739700000.0
1977,12,0.12444676313549749,0.14034352319185,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",338003280000.0,30868900000.0
1978,12,0.13075535847638184,0.16087054178702068,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",420068900000.0,34646900000.0
1979,12,0.13098810880536058,0.17321386054583807,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",517536560000.0,42467700000.0
1980,12,0.15454375296362546,0.189112897965397,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",602645160000.0,45321400000.0
1981,12,0.13862562157752753,0.1581765695432638,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",611038560000.0,49746900000.0
1982,12,0.17473371886703823,0.16019679677318743,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",599196556983.55,46791700000.0
1983,12,0.15247629868683057,0.14081922907872055,"US,GB,FR,DE,IT,JP,IN,CN,CA,AU,KR,TW",622204477060.2346,53847500000.0
