material,class,tc_K,sg_number,point_group,candidate,path,note
Al,Element,1.2,225,Oh,YES,BCS bulk (S1) or type-I,
Bi,Element,0.00053,166,D3d,YES,BCS bulk (S1) or type-I,
Cd,Element,0.52,194,D6h,YES,BCS bulk (S1) or type-I,
Diamond:B,Element,11.4,227,Oh,YES,BCS bulk (S1) or type-I,
Ga,Element,1.083,64,D2h,NO,BCS bulk (S1) or type-I,
Ge:Ga,Element,3.5,227,Oh,YES,BCS bulk (S1) or type-I,
Hf,Element,0.165,194,D6h,YES,BCS bulk (S1) or type-I,
Hg(a),Element,4.15,166,D3d,YES,BCS bulk (S1) or type-I,
Hg(b),Element,3.95,166,D3d,YES,BCS bulk (S1) or type-I,
In,Element,3.4,139,D4h,NO,BCS bulk (S1) or type-I,
Ir,Element,0.14,225,Oh,YES,BCS bulk (S1) or type-I,
La(a),Element,4.9,194,D6h,YES,BCS bulk (S1) or type-I,
La(b),Element,6.3,225,Oh,YES,BCS bulk (S1) or type-I,
Li,Element,0.0004,229,Oh,YES,BCS bulk (S1) or type-I,
Mo,Element,0.92,229,Oh,YES,BCS bulk (S1) or type-I,
Nb,Element,9.26,229,Oh,YES,BCS bulk (S1) or type-I,
Os,Element,0.65,194,D6h,YES,BCS bulk (S1) or type-I,
Pa,Element,1.4,139,D4h,NO,BCS bulk (S1) or type-I,
Pb,Element,7.19,225,Oh,YES,BCS bulk (S1) or type-I,
Re,Element,2.4,194,D6h,YES,BCS bulk (S1) or type-I,
Rh,Element,0.000325,225,Oh,YES,BCS bulk (S1) or type-I,
Ru,Element,0.49,194,D6h,YES,BCS bulk (S1) or type-I,
Si:B,Element,0.4,227,Oh,YES,BCS bulk (S1) or type-I,
Sn(b),Element,3.72,141,D4h,NO,BCS bulk (S1) or type-I,
Ta,Element,4.48,229,Oh,YES,BCS bulk (S1) or type-I,
Tc,Element,9.25,194,D6h,YES,BCS bulk (S1) or type-I,
Th(a),Element,1.37,225,Oh,YES,BCS bulk (S1) or type-I,
Ti,Element,0.39,194,D6h,YES,BCS bulk (S1) or type-I,
Tl,Element,2.39,194,D6h,YES,BCS bulk (S1) or type-I,
U(a),Element,0.68,63,D2h,NO,BCS bulk (S1) or type-I,
U(b),Element,1.8,136,D4h,NO,BCS bulk (S1) or type-I,
V,Element,5.03,229,Oh,YES,BCS bulk (S1) or type-I,
W(a),Element,0.015,229,Oh,YES,BCS bulk (S1) or type-I,
W(b),Element,2.5,223,Oh,YES,BCS bulk (S1) or type-I,
Yb,Element,1.4,225,Oh,YES,BCS bulk (S1) or type-I,
Zn,Element,0.855,194,D6h,YES,BCS bulk (S1) or type-I,
Zr,Element,0.55,194,D6h,YES,BCS bulk (S1) or type-I,
Ba8Si46,Clathrate,8.07,223,Oh,YES,BCS bulk (S1),
C6Ca,Intercalated,11.5,194,D6h,YES,BCS bulk (S1),
C6Li3Ca2,Intercalated,11.15,194,D6h,YES,BCS bulk (S1),
C8K,Intercalated,0.14,194,D6h,YES,BCS bulk (S1),
C8KHg,Intercalated,1.4,194,D6h,YES,BCS bulk (S1),
C6K,Intercalated,1.5,194,D6h,YES,BCS bulk (S1),
C3K,Intercalated,3.0,194,D6h,YES,BCS bulk (S1),
C3Li,Intercalated,0.35,194,D6h,YES,BCS bulk (S1),
C2Li,Intercalated,1.9,194,D6h,YES,BCS bulk (S1),
C3Na,Intercalated,3.05,194,D6h,YES,BCS bulk (S1),
C2Na,Intercalated,5.0,194,D6h,YES,BCS bulk (S1),
C8Rb,Intercalated,0.025,194,D6h,YES,BCS bulk (S1),
