formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Ag0.02Ge2Pd1.98Sr1,2.64,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-978986
Ag0.15Sn0.85Te1,2.15,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1883
Ag0.1In0.9Te1,1.2,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2597
Ag0.2Ba1Si1.8,3.2,Other,P 43 3 2,432,NM,EXCLUDED,mp-7275
Ag0.438Hg0.562,0.64,Other,P 21 3,23,NM,EXCLUDED,mp-758523
Ag0.4Sn0.6Te1,1.95,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-1229006
Ag0.55Hg0.45,0.0,Other,P 3 m 1,3m,NM,CANDIDATE,mp-770433
Ag0.5Ba1Si1.5,1.21,Other,F d d d,mmm,NM,EXCLUDED,mp-9867
Ag0.5Pd0.5Th2,1.2,Other,I 4 2 2,422,NM,EXCLUDED,mp-1217282
Ag0.625Al0.375,0.106,Other,C m c m,mmm,NM,EXCLUDED,mp-985805
Ag0.76Se2Sn1.24,6.72,Other,R -3 m,-3m,NM,CANDIDATE,mp-1229011
Ag0.7Hg0.3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-985443
Ag0.7Zn0.3,0.0125,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-864794
Ag0.81In0.19,0.0074,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-30343
Ag0.8Ga0.2,6.5,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1184036
Ag1B2,6.7,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-12062
Ag1Be2,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-603
Ag1Ce1Sb2,0.0,Heavy_fermion,P 4/n m m,4/mmm,FM,EXCLUDED,mp-510280
Ag1Cl2,0.0,Other,R -3 c,-3m,NM,CANDIDATE,mp-864635
Ag1In2,2.35,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-19974
Ag1La1,1.073333333,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1948
Ag1La1Sb2,0.0,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-20271
Ag1Mg1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2696
Ag1Mo6S8,7.7,Chevrel,R -3,-3,NM,CANDIDATE,mp-35109
Ag1Te1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-568761
Ag1Te3,2.6,Other,I m -3 m,m-3m,NM,CANDIDATE,mp-28246
Ag1Th2,2.225,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-2233
Ag1Y1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2474
Ag1Zn1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1912
Ag1Zn3,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1187969
Ag2F1,0.066,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-1391
Ag2O1,0.0,Oxide,P n -3 m,m-3m,NM,CANDIDATE,mp-353
Ag2S1,0.0,Other,P 1 21 1,2,NM,EXCLUDED,mp-31053
Ag2Se1,0.0,Other,P 21 21 21,222,NM,EXCLUDED,mp-568936
Ag2Te1,0.0,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-1592
Ag3.3Al1,0.34,Other,C m m m,mmm,NM,EXCLUDED,mp-1228927
Ag3Sb1,0.0,Other,P m m n,mmm,NM,EXCLUDED,mp-16240
Ag3Sn1,0.0,Other,P m m n,mmm,NM,EXCLUDED,mp-611
Ag4Ge1,0.85,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1229108
Ag5Ba1,0.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1814
Ag5Cd8,0.0,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-567857
Ag5Pb2O6,0.0502,Oxide,P -3 1 m,-3m,NM,CANDIDATE,mp-22286
Ag5Sr1,0.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-2410
Ag5Zn8,0.0,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-30361
Ag7N1O11,1.03625,Oxide,F m m 2,mm2,NM,EXCLUDED,mp-37695
Al0.01B0.99Li2Pt3,2.86,Other,P 43 3 2,432,NM,EXCLUDED,mp-20234
Al0.01B2Mg0.99,37.95,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-763
Al0.02Nb3Sn0.98,17.9,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1326
Al0.02Si0.98V3,16.12,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-2567
Al0.05B0.95Li2Pd3,7.75,Other,P 43 3 2,432,NM,EXCLUDED,mp-20657
Al0.15Ga0.85Nb3,17.1,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-2670
Al0.15Ge0.85Nb3,7.4,Other,P 42/n,4/m,NM,EXCLUDED,mp-1198302
Al0.188V0.812,0.0,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-1387
Al0.18La0.82,4.65,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1084828
Al0.1Ca1Ga0.9Si1,3.34,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1227042
Al0.1Ga0.9V3,13.9,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-22568
Al0.215Nb0.785,17.97,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-796
Al0.25Ti0.525V0.255,0.0,Other,F -4 3 m,-43m,FiM,CANDIDATE,mp-999068
Al0.28Mg0.18,1.63,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-1210739
Al0.29B2Mg0.71,24.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1207086
Al0.2B2Mg0.8,28.71,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1222150
Al0.2B5Mo1.8,5.7,Other,R -3 m,-3m,NM,CANDIDATE,mp-7229
Al0.33Ga0.67Nb3,18.1,Other,P m -3,m-3,NM,CANDIDATE,mp-1220348
Al0.39Ge0.61Nb3,7.3,Other,P m -3,m-3,NM,CANDIDATE,mp-1220344
Al0.39Nb3Sn0.61,14.1,Other,P m -3,m-3,NM,CANDIDATE,mp-1220362
Al0.3Ba2Cu2La2Ti1.7O10.86,0.0,Cuprate,F -4 3 m,-43m,FM,CANDIDATE,mp-1227852
Al0.3Cr0.7,0.0,Other,I 4/m m m,4/mmm,FM,EXCLUDED,mp-1699
Al0.3Ga0.7V3,13.9,Other,P m -3,m-3,FM,CANDIDATE,mp-1228807
Al0.3Ga2.7Pd2U1,0.0,Heavy_fermion,P 6/m m m,6/mmm,FM,CANDIDATE,mp-20899
